BY/112 11.02. ТР013 045.01 01393	30.06.2022	Иностранное общество с ограниченной ответственностью "ПРОФИЛИ ВОКС"	напольное покрытие многослойное на основе ПВХ	И.А.Бортновская	225003, Брестская обл., Брестский р-н, Тельминский c/c, 7
BY/112 11.02. ТР013 045.01 01392	30.06.2022	Иностранное общество с ограниченной ответственностью "ПРОФИЛИ ВОКС"	панели ламельные и комплектующие к ним из пенополистирола для внутренней отделки	И.А.Бортновская	225003, Брестская обл., Брестский р-н, Тельминский c/c, 7
BY/112 11.05. ТР013 045.01 01391	30.06.2022	Общество с ограниченной ответственностью "ТрастИнжиниринг"	проектная документация по объекту № 018/22 «Капитальный ремонт с элементами модернизации станции 1-го подъема водозабора «Горынь» г. Столин Сталинского района (водозаборная скважина 49249/92)»	И.А.Бортновская	Область Брестская, г. Брест, ул. Пушкинская, 16/1,  607, индекс 224005
BY/112 11.05. ТР013 045.01 01390	30.06.2022	Общество с ограниченной ответственностью "ТрастИнжиниринг"	проектная документация по объекту № 017/22 «Капитальный ремонт канализационных сетей в г. Давид-Городок Сталинского района»	И.А.Бортновская	Область Брестская, г. Брест, ул. Пушкинская, 16/1,  607, индекс 224005
BY/112 11.05. ТР013 045.01 01389	30.06.2022	Общество с ограниченной ответственностью "ТрастИнжиниринг"	проектная документация по объекту № 016/22 «Реконструкция очистных сооружений канализации в аг. Ольшаны Сталинского района»	И.А.Бортновская	Область Брестская, г. Брест, ул. Пушкинская, 16/1,  607, индекс 224005
BY/112 11.05. ТР013 045.01 01388	30.06.2022	Общество с ограниченной ответственностью "ТрастИнжиниринг"	проектная документация по объекту № 015/22 «Капитальный ремонт водопроводных сетей по ул. Полесская в аг. Дубой Столинского района»	И.А.Бортновская	Область Брестская, г. Брест, ул. Пушкинская, 16/1,  607, индекс 224005
BY/112 11.05. ТР013 045.01 01387	30.06.2022	Общество с ограниченной ответственностью "ТрастИнжиниринг"	проектная документация по объекту № 014/22 «Капитальный ремонт водопроводных сетей по ул. Теребежовская в р.п. Речица Столинского района»	И.А.Бортновская	Область Брестская, г. Брест, ул. Пушкинская, 16/1,  607, индекс 224005
BY/112 11.05. ТР013 045.01 01386	30.06.2022	Частное проектно-строительное унитарное предприятие "ПАЛИАНА ИНЖИНИРИНГ"	проектная документация по объекту № 212-22 "Реконструкция станции обезжелезивания и узла ввода унитарного предприятия «АСБ Санаторий Солнечный"	И.А.Бортновская	Область Брестская, г. Брест, ул. Комсомольская, 25,  207, индекс 224005
BY/112 11.05. ТР013 045.01 01385	29.06.2022	Общество с ограниченной ответственностью "БЕЛСПЕЦЭЛЕКТРОМОНТАЖ"	проектная документация по объекту № 109П.2021 «Организация мебельного производства ОАО «Ивацевичдрев» в здании цеха РЗЦ, в складе готовой продукции с переустройством навеса под складское помещение, расположенных по адресу: Брестская область, г. Ивацевичи, ул. Заводская, 4/3, 4/10, 4/31.	Л.Д.Павлюкевич	Область Брестская, г. Брест, ул. Куйбышева, 21, индекс 224016
BY/112 11.04. ТР013 045.01 01384	29.06.2022	Открытое акционерное общество "Батчи"	завершенное строительством здание коровника № 2 на 600 коров в МТК вблизи д. Девятки	И.А.Бортновская	Область Брестская, Район Кобринский, аг. Батчи, ул. Садовая, 12, индекс 225874
