BY/112 04.14. ТР013 045.01 00281	0317693	17.04.2023	16.04.2028	ОАО "Агро-Мотоль"	Открытое акционерное общество "Агро-Мотоль"	Открытое акционерное общество "Агро-Мотоль"	Выполнение работ по устройству антикоррозионных покрытий строительных конструкций сооружений лакокрасочные защитные покрытия
BY/112 04.14. ТР013 045.01 00280	0317692	17.04.2023	16.04.2028	ОАО "Агро-Мотоль"	Открытое акционерное общество "Агро-Мотоль"	Открытое акционерное общество "Агро-Мотоль"	Выполнение работ по устройству изоляционных покрытий гидроизоляция из рулонных материалов, окрасочная гидроизоляция (битумная, лакокрасочная, полимерная, битумно-полимерная, полимерцементная)
BY/112 04.14. ТР013 045.01 00279	0317691	17.04.2023	16.04.2028	ОАО "Агро-Мотоль"	Открытое акционерное общество "Агро-Мотоль"	Открытое акционерное общество "Агро-Мотоль"	Выполнение работ по устройству тепловой изоляции ограждающих конструкций сооружений легкие штукатурные системы утепления, утепление крыш и перекрытий
BY/112 04.14. ТР013 045.01 00278	0317690	17.04.2023	16.04.2028	ОАО "Агро-Мотоль"	Открытое акционерное общество "Агро-Мотоль"	Открытое акционерное общество "Агро-Мотоль"	Выполнение работ по заполнению оконных и дверных проемов с применением оконных и дверных блоков из поливинилхлоридного профиля, из древесины, металлических
BY/112 04.14. ТР013 045.01 00277	0317689	17.04.2023	16.04.2028	ОАО "Агро-Мотоль"	Открытое акционерное общество "Агро-Мотоль"	Открытое акционерное общество "Агро-Мотоль"	Выполнение работ по устройству оснований, фундаментов сооружений  на основании из естественных грунтов
BY/112 04.14. ТР013 045.01 00276	0317678	31.03.2023	30.03.2028	ООО "ОстЛидерСтрой"	Общество с ограниченной ответственностью "ОстЛидерСтрой"	Общество с ограниченной ответственностью "ОстЛидерСтрой"	Выполнение работ по устройству изоляционных покрытий гидроизоляция из рулонных материалов, окрасочная гидроизоляция (битумная, лакокрасочная, полимерная, битумно-полимерная, полимерцементная), гидроизоляция из цементных растворов, горячих асфальтовых смесей и литая гидроизоляция, тепло- и звукоизоляция из плит и сыпучих териалов
BY/112 04.14. ТР013 045.01 00275	0317677	31.03.2023	30.03.2028	ООО "ОстЛидерСтрой"	Общество с ограниченной ответственностью "ОстЛидерСтрой"	Общество с ограниченной ответственностью "ОстЛидерСтрой"	Выполнение работ по устройству тепловой изоляции ограждающих конструкций сооружений легкие штукатурные системы утепления, вентилируемые системы утепления, утепление цоколей, крыш и перекрытий 
BY/112 04.14. ТР013 045.01 00274	0317675	30.03.2023	29.03.2028	ОДО "Ремспецмонтаж"	Общество с дополнительной ответственностью "Ремспецмонтаж"	Общество с дополнительной ответственностью "Ремспецмонтаж"	Выполнение работ по монтажу наружных сетей и сооружений  водоснабжение и канализация
BY/112 04.14. ТР013 045.01 00273	0317674	30.03.2023	29.03.2028	ОДО "Ремспецмонтаж"	Общество с дополнительной ответственностью "Ремспецмонтаж"	Общество с дополнительной ответственностью "Ремспецмонтаж"	Выполнение работ по устройству дорожных покрытий пешеходных зон из тротуарных плит  
BY/112 04.14. ТР013 045.01 00272	0317673	30.03.2023	29.03.2028	ОДО "Ремспецмонтаж"	Общество с дополнительной ответственностью "Ремспецмонтаж"	Общество с дополнительной ответственностью "Ремспецмонтаж"	Выполнение работ по устройству оснований, фундаментов сооружений  на основании из естественных грунтов, из буронабивных свай, искусственные основания из насыпных и намывных грунтов
